iter	Passed	Remaining
0	166	165851
1	167	83467
2	168	55916
3	169	42222
4	173	34565
5	175	29103
6	178	25261
7	179	22224
8	180	19845
9	181	17932
10	181	16363
11	182	15058
12	185	14060
13	187	13198
14	188	12397
15	189	11682
16	190	11039
17	191	10464
18	192	9950
19	193	9494
20	196	9171
21	198	8805
22	199	8484
23	201	8177
24	202	7881
25	202	7604
26	203	7345
27	204	7105
28	205	6884
29	206	6681
30	208	6515
31	211	6383
32	212	6222
33	213	6077
34	215	5930
35	216	5784
36	216	5645
37	217	5514
38	218	5387
39	219	5267
40	220	5154
41	222	5064
42	224	5002
43	226	4924
44	228	4842
45	229	4762
46	230	4677
47	231	4593
48	232	4512
49	233	4436
50	234	4363
51	237	4327
52	239	4272
53	240	4212
54	241	4157
55	242	4094
56	243	4033
57	244	3974
58	245	3919
59	246	3863
60	247	3809
61	248	3757
62	249	3708
63	253	3701
64	254	3661
65	256	3622
66	257	3583
67	258	3540
68	259	3497
69	260	3454
70	260	3414
71	262	3381
72	263	3344
73	264	3307
74	266	3284
75	268	3258
76	269	3230
77	270	3201
78	271	3169
79	272	3136
80	273	3105
81	274	3074
82	275	3039
83	276	3012
84	277	2983
85	278	2956
86	279	2930
87	281	2916
88	282	2895
89	284	2872
90	285	2851
91	286	2827
92	287	2802
93	288	2778
94	289	2753
95	289	2729
96	290	2706
97	291	2684
98	292	2661
99	293	2643
100	295	2631
101	298	2623
102	299	2609
103	301	2593
104	301	2573
105	302	2554
106	303	2534
107	304	2515
108	305	2496
109	306	2477
110	307	2459
111	307	2441
112	310	2434
113	312	2428
114	313	2414
115	314	2399
116	315	2383
117	316	2368
118	317	2353
119	318	2337
120	319	2321
121	320	2305
122	321	2290
123	323	2286
124	325	2279
125	326	2267
126	327	2253
127	329	2241
128	330	2229
129	331	2215
130	331	2202
131	332	2188
132	333	2175
133	334	2163
134	335	2151
135	336	2139
136	339	2137
137	341	2132
138	343	2129
139	345	2125
140	347	2116
141	348	2107
142	349	2096
